Deep Neural Networks pruning via the Structured Perspective Regularization,Climate Change Mitigation,N/A,Energy Efficiency in Buildings,N/A,909b90572d80fa8ef5c8d913c84d09cc
This paper introduces a novel method for pruning deep neural networks through structured perspective regularization. The approach is based on a Mixed-Integer-Programming model and uses perspective reformulation to improve network sparsity while maintaining competitive performance. The algorithm is tested on various neural network architectures and demonstrates effective parameter reduction with minimal impact on model accuracy.,"The paper focuses on improving energy efficiency through neural network pruning, which aligns with reducing computational energy consumption, a critical aspect of climate change mitigation.","The authors focus on a technical method linked to deep neural ntworks. ""In this work, we develop a novel method to perform structured pruning during training through the introduction of a Structured Perspective Regularization (SPR) term""","The focus on reducing the computational energy required for running neural networks directly contributes to energy efficiency, which can be applied in the context of building management systems.","The authors focus on a technical method linked to deep neural ntworks. ""In this work, we develop a novel method to perform structured pruning during training through the introduction of a Structured Perspective Regularization (SPR) term""",
,Climate Change Adaptation,N/A,N/A,N/A,
,"Although not a primary focus, optimizing computational efficiency can indirectly support systems that require resilience and adaptability in response to climate impacts.","The authors focus on a technical method linked to deep neural ntworks. ""In this work, we develop a novel method to perform structured pruning during training through the introduction of a Structured Perspective Regularization (SPR) term""",The secondary category does not fit into the available sub-categories.,,
In-Processing Fairness Improvement Methods for Regression Data-Driven Building Models: Achieving Uniform Energy Prediction,Climate Change Mitigation,Climate Change Mitigation,Energy Efficiency in Buildings,Energy Efficiency in Buildings,8b8cc818ca17e2b283f8a194c21ee4a5
"This paper discusses methods to improve fairness in regression data-driven building models, specifically for energy prediction. The proposed in-processing methods add fairness-related penalties or constraints to the loss functions to ensure uniform predictive performance across different conditions, such as varying occupancy movements.","The focus on energy prediction and optimization in buildings aligns with climate change mitigation efforts, particularly in reducing energy consumption through predictive control.",,"The paper is centered on improving energy prediction in buildings, which is crucial for optimizing building energy management and reducing consumption.",,
,N/A,N/A,N/A,N/A,
,"The main focus of the paper is on energy efficiency in buildings, which is adequately covered under the primary category of Climate Change Mitigation. No other categories are directly relevant based on the provided abstract.",,"The focus is solely on energy efficiency in buildings, and no additional sub-categories apply.",,
Laughing Hyena Distillery: Extracting Compact Recurrences From Convolutions,Climate Change Mitigation,N/A,Energy Efficiency in Buildings,N/A,9266c713b4223e2674bf33e0cc34e9d7
"The paper presents the Laughing Hyena Distillery method, which aims to extract compact recurrences from convolutional sequence models to improve the efficiency of autoregressive generation. This method employs state-space models to achieve constant memory and computational costs, allowing for more efficient processing and larger batch sizes during inference, without loss in quality. The approach involves techniques like rational interpolation and model-order reduction, achieving significant improvements in throughput over existing models such as Transformers and Hyena.",The paper focuses on improving computational efficiency which is indirectly linked to climate change mitigation efforts by potentially reducing the carbon footprint of deep learning models used in various applications.,"The authors ""seek to enable O(1) compute and memory cost per token in any pre-trained long convolution architecture to reduce memory footprint and increase throughput during generation."". Within the ""Broader impact"" section (after the aknwoledgments), they precise that their ""distillation methods [...] can lead to energy savings during model deployement, [...] reducing environmental impact."". Nevertheless, the main purpose is to improve a technical method. Climate-related topics are not central...","Although primarily about computational efficiency, the methods described could contribute to broader energy efficiency, analogous to energy efficiency improvements seen in dynamic and adaptive systems like smart lighting or HVAC systems that optimize energy use.","The authors ""seek to enable O(1) compute and memory cost per token in any pre-trained long convolution architecture to reduce memory footprint and increase throughput during generation."". Within the ""Broader impact"" section (after the aknwoledgments), they precise that their ""distillation methods [...] can lead to energy savings during model deployement, [...] reducing environmental impact."". Nevertheless, the main purpose is to improve a technical method. Climate-related topics are not central...",
,N/A,N/A,N/A,N/A,
