An Intentional Forgetting-Driven Self-Healing Method for Deep Reinforcement Learning Systems,Climate Change Adaptation,KO/check,Climate Risks Modeling,KO/check,878919a5009b3e3b47d06d604566693b
"The paper discusses a self-healing method for Deep Reinforcement Learning (DRL) systems called Dr. DRL, which integrates intentional forgetting to address inefficiencies in Continual Learning (CL) when adapting to environmental drifts in production settings. This method prioritizes key problem-solving skills and accelerates adaptation in drifted environments.","The primary focus of the paper is on adapting DRL systems to changing environments. Adaptation is a core theme in adapting to climate change, particularly as it involves adjusting systems to cope with environmental changes effectively and efficiently.","The given environmental conditions specified in the paper do not refer to climate topics. ""DRL-based systems [...] are likely to generate incorrect or undesirable behaviors when operating in constantly everchanging production settings. This phenomenon is known as environmental drift [4], which is the manifestation of concept drift [5, 6] in DRL systems"". ","The paper relates to modeling and adapting AI systems for unpredictable and changing environmental conditions, akin to how climate risks modeling involves preparing for and mitigating unpredictable climatic changes.",The given environmental conditions specified in the paper do not refer to climate topics,
,N/A,OK,N/A,OK,
,"The paper primarily focuses on adaptation strategies for AI systems rather than direct applications in environmental or ecological contexts. Therefore, it doesn't fit neatly into other eco-responsible categories beyond adaptation frameworks.",,The focus on intentional forgetting and self-healing in AI systems doesn't specifically align with other eco-responsible sub-categories since the applications are more about system processes than external environmental applications.,,
Neighbor Auto-Grouping Graph Neural Networks for Handover Parameter Configuration in Cellular Network,Climate Change Mitigation,KO/Check,Energy Efficiency in Buildings,KO/Check,85617b2cfcbc8ef2494a374368d3276f
"This paper introduces a learning-based framework to optimize handover parameters in cellular networks using a novel graph convolutional network. The model focuses on handling dependencies between neighboring cells and aims to enhance network throughput and stability, which could reduce the need for expert intervention. It addresses spatial and temporal complexities and can significantly improve network performance, especially in underserved areas.","The paper discusses an approach to optimize cellular network operations, which could lead to energy efficiency gains within the network infrastructure. Energy efficiency in telecommunications aligns with Climate Change Mitigation, even though not directly related to carbon reduction, it supports reducing the overall energy demand.","Even though sustainable applications are mentioned (short paragraph), they are not central. ""The conducted simulations shows the superiority of TAG-GCN which has a huge potential social impact by improving the cellular network parameters and providing massive connectivity and high coverage with a balanced traffic across the network. Hence, this can help the widespread adaptation of new technologies to benefit many sectors such as health and education.""","While the focus is on cellular networks, the optimization of handover parameters can be linked indirectly to energy efficiency as improved network performance can lead to reduced energy consumption through efficient resource allocation.","Even though sustainable applications are mentioned (short paragraph), they are not central. ""Besides, this framework can bring new possibilities for important applications to under-developed regions including online education, health monitoring devices by improving their real time connection (Attaran 2021).""",
,Support to Global South,KO/Check,Support RE Deployment,KO/Check,
,"The framework proposed in the paper can improve network performance in underserved regions, contributing to better infrastructure and connectivity, which is crucial for bridging the digital divide in developing areas.","Even though one of the main purposes is to help underserved regions, including Southern ones, it will be done through climate/sustainable actions. ""Besides, this framework can bring new possibilities for important applications to under-developed regions including online education, health monitoring devices by improving their real time connection (Attaran 2021).""","Though indirect, the enhancement of network quality and coverage through the proposed method could support the deployment of renewable resources by enabling better communication and control systems.","""This can bring exciting new opportunities to these regions such as remote education, remote working, health monitoring, video streaming, etc.""",
,,,,,
,,,,,
The generalizability of pre-processing techniques on the accuracy and fairness of data-driven building models: a case study,Climate Change Mitigation,KO/Check,Energy Efficiency in Buildings,KO/Check,84ce54da8fde89d11993e89ebc647449
"This paper examines the effectiveness of different pre-processing techniques on the accuracy and fairness of data-driven building models (DDBMs) used for predicting lighting status in buildings. It introduces a new technique called sequentially balanced sampling (SBS) and compares it with existing methods to handle data distribution imbalances. The study conducts simulations on lighting data to evaluate these techniques in terms of their impact on predictive accuracy and fairness, with implications for improving DDBM performance.","The focus on improving the predictive performance of building management systems through data-driven models aligns with efforts to optimize energy consumption and reduce emissions in the building sector, which is crucial for climate change mitigation.","This paper aims to improve the accuracy and fairness of data-driven building models. Even though sustainable applications are mentioned, they are not central. ""[...] plenty of information [...] has been dynamically collected from buildings [2]. These data could be used as a basis to develop data-driven building models (DDBMs) to predict indoor air temperature [3], energy consumption [4], [5], [6], thermal comfort [7], occupancy status/numbers [8], [9], [10], indoor air quality [11], fire hazard [12] or HVAC system performance [13], [14].""",The use of data-driven models to predict aspects such as energy consumption and HVAC performance directly contributes to improving energy efficiency in building management.,"This paper aims to improve the accuracy and fairness of data-driven building models. Even though sustainable applications are mentioned, they are not central. ",
,N/A,OK,N/A,OK,
,"The content of the paper is primarily focused on data-driven models for energy and building management, without direct connections to other listed eco-responsible categories.",,"The focus is specifically on energy efficiency within building contexts, without mentioning activities outside this specific area.",,
GAUCHE: A Library for Gaussian Processes in Chemistry,Climate Change Mitigation,KO/Check,Industry,KO/Check,87edb74fb6193d66722392da2df34b13
