Reincarnating Reinforcement Learning: Reusing Prior Computation to Accelerate Progress,Climate Change Mitigation,N/A,Energy Efficiency in Buildings,N/A,97f28ecf1bc9ed21535a8bcf84fdee02
"The paper presents reincarnating reinforcement learning (RRL), an approach to reuse prior computational work in reinforcement learning instead of starting from scratch. This approach seeks to leverage existing policies and learned data to accelerate the training of RL agents, making RL research more accessible to institutions with limited computational resources. The paper focuses on policy-to-value reincarnating RL and introduces a new method, QDagger, demonstrating its effectiveness in various settings such as Atari games and real-world problems like navigation of stratospheric balloons.","The paper emphasizes reducing computational resources, which aligns with climate change mitigation efforts by potentially lowering the energy consumption associated with large-scale training of RL models.","Despite the fact that it might be true, it is not mentioned in the paper. ""Overall, this work argues for an alternative approach to [Reinforcement Learning (RL)] research, which we believe could significantly improve real-world RL adoption and help democratize it further""","Although indirect, the focus on reducing computational resources can contribute to energy-efficient practices in computational processes, analogous to energy efficiency efforts in buildings.","Despite the fact that it might be true, it is not mentioned in the paper. ""Overall, this work argues for an alternative approach to [Reinforcement Learning (RL)] research, which we believe could significantly improve real-world RL adoption and help democratize it further""",
,Support to Global South,N/A,Support Renewable Energy Deployment,N/A,
,"By democratizing access to efficient RL methods, the paper supports Global South initiatives by enabling more researchers to participate without industrial-scale resources.","Despite the fact that it might be true, it is not mentioned in the paper. ""Overall, this work argues for an alternative approach to [Reinforcement Learning (RL)] research, which we believe could significantly improve real-world RL adoption and help democratize it further""","By providing access to more efficient computational processes, it indirectly supports efforts to bolster renewable energy research and deployment, especially in regions with limited access.","Despite the fact that it might be true, it is not mentioned in the paper. ""Overall, this work argues for an alternative approach to [Reinforcement Learning (RL)] research, which we believe could significantly improve real-world RL adoption and help democratize it further""",
Resource-Efficient Separation Transformer,Climate Change Mitigation,N/A,Energy Efficiency in Buildings,N/A,d15a346b47c82ef810cba8f292eb9154
"The paper presents the Resource-Efficient Separation Transformer (RE-SepFormer), an architecture for Transformer-based speech separation. The model emphasizes computational efficiency, reducing parameters and operations compared to previous architectures while maintaining performance. The paper focuses on adapting Transformers for reduced computational burden using non-overlapping blocks and compact latent summaries. The RE-SepFormer is tested on WSJ0-2Mix and WHAM! datasets in both causal and non-causal settings, achieving competitive results with significantly decreased memory and inference time.","The development of a more resource-efficient model directly contributes to reducing energy consumption and carbon emissions associated with deep learning models, a critical aspect of climate change mitigation.","Despite the fact that it might be true, it is not mentioned in the paper. ""This paper explores Transformer-based speech separation with a reduced computational cost.""","The aspect of energy efficiency in computational models can be parallel to energy efficiency in buildings in terms of reducing energy consumption and associated emissions, albeit in the context of computational operations rather than physical infrastructure.","Despite the fact that it might be true, it is not mentioned in the paper. ""This paper explores Transformer-based speech separation with a reduced computational cost.""",
,N/A,N/A,N/A,N/A,
,"The paper primarily focuses on energy efficiency in computational models, and no other distinct secondary sustainable development category is prominently addressed.",,The paper primarily addresses energy efficiency in deep learning models without overlapping into other specific sub-categories.,,
,,,,,
,,,,,
Trade-off Between Accuracy and Fairness of Data-driven Building and Indoor Environment Models: A Comparative Study of Pre-processing Methods,Climate Change Mitigation,Climate Change Mitigation,Energy Efficiency in Buildings,Energy Efficiency in Buildings,d24a5ec6f833c61e020c4a41efa49d2e
"This paper explores the balance between accuracy and fairness in data-driven models for building and indoor environments. It introduces three types of fairness in building engineering, examines two types of fairness, and proposes pre-processing methods to improve fairness in predictive models used for lighting status prediction. The study compares these methods in terms of their impact on accuracy and fairness across various scenarios.","The study focuses on data-driven models for buildings, specifically looking at energy management and efficiency, which aligns with climate change mitigation efforts through improved energy efficiency in buildings.",,"The paper's focus is on building and indoor environment models which are used to predict variables that can influence energy management in buildings, directly correlating with energy efficiency improvements.",,
,N/A,N/A,N/A,N/A,
,There are no explicit secondary sustainable development areas addressed in the paper apart from energy efficiency in buildings.,,There are no explicit secondary sub-categories relevant to the content of the paper beyond energy efficiency in buildings.,,
Aligning artificial intelligence with climate change mitigation,Climate Change Mitigation,Climate Change Mitigation,Industry,N/A,c44882c7cb4fb4c15eafeee31514f414
